Wed Apr 17 15:43:54 2024    profile_stats.prof

         387255327 function calls (336738144 primitive calls) in 106.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      229    0.004    0.000    0.026    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:363(_get_layout)
        8    0.000    0.000    0.026    0.003 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:2555(_update_label_position)
       24    0.000    0.000    0.025    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/spines.py:142(get_window_extent)
     6164    0.001    0.000    0.024    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:45(_postorder_traverse)
       24    0.000    0.000    0.023    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1300(_get_ticklabel_bboxes)
       12    0.000    0.000    0.023    0.002 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:2079(_get_tick_boxes_siblings)
       24    0.000    0.000    0.023    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1304(<listcomp>)
137416/6164    0.021    0.000    0.023    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:48(dfs)
  121/105    0.000    0.000    0.021    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
        4    0.000    0.000    0.021    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1408(_get_tightbbox_for_layout_only)
       96    0.000    0.000    0.019    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:2134(__call__)
    64220    0.019    0.000    0.019    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
        2    0.000    0.000    0.018    0.009 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:2810(plot)
       96    0.000    0.000    0.018    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:2138(tick_values)
        8    0.000    0.000    0.017    0.002 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:2307(gca)
